Q16538	Q9UPY8
O43490	Q16667
Q9BV47	Q8WWX8
Q15149	Q9H2P9
A8MZ36	Q07627
Q4KWH8	P40145
P50453	P40967
Q6KB66	Q9NYT0
Q9UPM8	Q13145
P58397	Q14517
Q99988	P08047
P48304	O43827
Q9BTW9	Q9Y263
Q9NR09	P62857
Q9Y2T4	O94772
Q13241	P78380
P13796	Q14204
P12319	P27930
Q7Z569	Q8TBY9
O60393	P28698
P28335	P49758
Q9P0K7	Q96GD4
Q5VTL8	Q14149
Q6MZT1	Q16478
Q03052	P53778
Q14814	Q9NQ94
Q12979	Q9NRY4
Q6IWH7	O95833
Q13595	O00206
O43895	Q8TEA8
H9KV56	Q9BTC8
P28907	P27797
Q9NPJ8	Q96M94
P19174	Q8TC17
O43300	P54829
Q96P20	P09237
P56817	P28472
Q5HYK3	Q5TCQ9
Q86T65	Q92793
O43670	Q5HYW2
P08729	P10145
Q9UBX3	P08238
P05412	P29372
Q9Y5B0	Q9H2M9
Q9UJS0	Q9P032
Q9BQ52	P27482
Q9UQ84	P84243
Q9BQ51	P19174
P54725	Q8IX21
P46926	Q9H9P8
O00212	Q7Z4I7
P82664	Q92526
Q96NX5	P20273
P0C7M3	Q05D86
Q96DY2	P04196
P48023	P01833
Q9H3K6	Q9UBT6
O14770	P39019
Q9BQT9	O95297
O75317	O00291
Q9NRM7	O14640
P28067	P42226
P23528	O15084
Q9P0U3	P08047
Q8ND56	Q13868
Q7Z5Y7	P35670
Q93077	P84103
Q9GZT8	O43684
P32004	Q9UBP4
Q96GA3	O75832
Q9HB07	Q9NV31
Q96Q27	O14530
Q9NS28	Q99572
Q9H2B4	Q8IY17
O00206	Q16401
Q9NZW5	Q06413
Q7L7L0	Q969Q1
Q12946	Q99801
Q06643	Q96DN2
Q7RTP0	Q02153
E9PL57	Q9UBU9
Q9Y651	Q92793
Q9HAR2	Q9HAT2
P01375	P06727
P55064	P01116
Q9NNW7	Q9HBY0
Q8TAS1	P51693
P41002	P04198
O94805	Q9BXY8
O60264	P78362
Q9NRG4	Q71U36
P11169	P25208
A2IDD5	Q4ZIN3
Q9BVQ7	Q8TDY3
Q9NZJ5	Q8N565
A0A0B4J2A2	O75179
Q9Y285	P53582
Q7Z5Q1	P35813
Q9C005	P08620
Q8WUJ0	Q8IVW1
Q6ISU1	P50549
Q9UQ90	O15111
Q9UBR5	P62316
Q16676	Q13542
O60285	Q5VY43
C9J0E9	P61254
Q9BTE7	P30304
Q7Z5M8	Q9UIC8
P68431	P09668
B4E171	P48050
Q15056	Q92630
Q8WY21	Q9NUL7
Q9NPC6	Q9UBK2
Q14314	P30988
Q96M83	Q96K49
P10911	P56945
Q04771	P48729
P20338	Q8TE54
Q96CW1	Q5JXX5
P06576	P32455
Q86Y82	Q9UJV8
Q13501	Q8NI37
Q9NX14	P56381
Q16222	P11172
Q9Y336	Q9P2A4
Q9Y620	P27338
Q9NR46	Q969L2
P29375	Q9H892
Q9UBP9	P18850
Q9UI10	Q9Y3B9
Q14526	P27361
Q96A29	P05783
Q495M9	Q1L5Z9
P05023	P40616
Q9Y6M7	Q9UBR5
P60174	O60260
P26640	Q16658
P55786	Q9NY27
O95267	Q15399
Q92974	Q8IWE4
P06899	Q96PL5
P49411	P42356
O75469	B5MDS3
Q9BSK4	Q02878
Q2MKA7	Q9Y261
E5RI56	A6NK59
Q5U5X0	Q9Y4W6
Q96LW1	Q8WXA9
P61266	P21281
Q9Y561	Q9NVD7
Q9BQ75	Q9H900
P49450	Q14451
Q9ULX5	P13521
P18754	Q05823
P26045	Q6NUM6
Q96P11	P23526
Q9H4B4	Q16254
O14525	P54750
O14967	P21854
Q9H426	A6NJZ7
Q15399	Q96RG2
O00763	Q8NEZ2
P17948	Q9UHV7
Q6ZT21	Q9HCC0
A5PKW4	P62834
Q8TC07	Q96T51
P38398	Q9H8T0
P07093	P08582
Q9NZV8	Q8TCY5
Q8IX12	Q9UBF1
Q15465	Q8TAV4
Q9UJT2	Q96JI7
Q6ZUM4	O60806
Q9BSG5	P17643
P32248	P58753
P04406	P22694
Q16576	P10074
P14635	Q9NX58
Q15788	Q32Q12
P28300	Q06124
P51636	P08253
P46821	P02786
Q16654	P02765
Q9UKM9	O95749
Q05586	Q8TBE3
Q9BXN2	P05412
Q96CG8	P53420
Q9Y2R4	Q8N9W6
Q96KB5	P49840
O94967	P28332
A0A0A0MS16	Q9UBL0
P42262	P09936
Q12873	Q9NR22
O15393	Q8TEK3
Q16851	P42679
P41732	Q96PB7
P24844	Q9P0J1
P37058	Q09666
Q9NRZ9	Q9NZL4
Q4ZG55	P01011
P36402	Q8NI08
Q8WWX0	O15530
P08579	Q9UNQ2
Q6P1N0	Q53GS9
Q9BZW4	P02741
Q86Z02	O43255
O60942	Q15003
Q6F5E8	Q96HP0
Q5T890	Q9ULV5
Q9BZJ4	Q8NFW8
O00303	Q96IJ6
P34932	O43435
Q14520	Q9Y2R4
A0A0G2JM26	B2RXF5
P51114	P51654
Q9HAB8	Q9UBU3
Q9H0E7	P49281
P55103	Q9Y243
Q9HBE5	Q9H293
P13667	Q96PN6
P48145	O14795
Q16799	O14492
O43149	Q9UBC2
Q9P2S5	Q6ZWH5
Q92609	O60563
Q92839	Q8NFZ0
Q12947	Q92830
Q9UBP6	Q17RS7
Q9UJX6	Q96KM6
Q9P2W6	Q9Y5Q9
Q8TD90	Q9H313
Q8WV93	Q02221
O60573	Q8TB45
P38935	O75417
P06733	Q14997
P13646	P46531
Q99569	Q15058
Q6UXC1	O95264
P50995	P10451
O95169	P83731
Q9GZP9	P15056
P15313	Q8N1N0
P16615	Q9UKV5
Q92963	Q9BXX2
Q9NR97	P62304
P52948	P04141
Q8IZ69	Q16881
Q13131	P78318
Q969H8	P61803
P21439	A6NDG6
O95155	P30153
Q9BTX1	P16591
Q96LW2	P55072
P35568	P02778
P57078	Q9UL25
Q8NGN4	Q8NGL6
O15503	P45379
P18850	Q99570
O14562	P0CE71
P28906	Q8IZQ8
Q8NCF5	Q14588
Q92616	P40222
P25874	P42771
Q495M9	P19012
Q04900	P42081
Q5TCS8	Q02880
P68400	Q9BZ72
Q9NQX0	Q9UGL1
Q16643	P53814
Q9ULV1	O76093
Q9H2C0	Q9HBA0
Q15319	Q9P2U7
Q8N8C0	Q9BY41
P33992	O43809
Q969E1	P05156
O60237	Q13131
Q93052	Q9Y576
Q9UL42	P60033
P0CG47	Q02388
Q9UEF7	P54707
P15121	Q9NP71
Q96QT6	Q8N5C6
Q14116	Q9NY61
P78357	Q9UDY2
